trichotimeofday,diel2_1,diel2_2,diel2_3,diel4_1,diel4_2,diel4_3,diel6_1,diel6_2,diel6_3,diel8_1,diel8_3,diel9_1,diel9_2,diel9_3,diel10_1,diel10_2,diel10_3,diel11_1,diel11_2,diel11_3,diel12_1,diel12_3,diel14_1,diel14_2,diel14_3,diel16_1,diel16_3,diel19_1,diel19_3,diel22_1,diel22_2,diel22_3,diel23_1,diel23_2,diel23_3,diel24_1,diel24_2,diel24_3,diel1_1,diel1_2,diel1_3,teryparsed,KO,name,children__name,children__children__name,children__children__children__name,children__children__children__children__name,children__children__children__children__children__name,kid,kid2,kid3,kid4,kid5,kid6
Tery_0685  OpcA protein [Trichodesmium erythraeum IMS101: NC_008312],12.58,34.99,41.86,12.7,7.28,38,39.24,53.5,30.1,30.79,37.06,39.1,44.28,42.8,35.99,53.79,44.6,26.27,19.52,42.05,40.04,48.76,20.15,31.03,46.03,49,33.11,23.83,38.55,10.58,27.93,30.83,17.55,43.4,34.7,1.74,17.41,42.51,31.97,15.46,39.68,Tery_0685,no,,,,,,,,,,,,
Tery_2995 rplO LSU ribosomal protein L15P [Trichodesmium erythraeum IMS101: NC_008312],65.42,33.56,31.65,84.28,36.39,32.68,39.24,67.58,29.33,47.73,29.65,84.89,65.71,26.46,79.75,81.41,57.84,67.56,15.18,34.34,27.4,32.25,109.76,11.28,32.29,72.87,30.42,41.04,27.25,61.39,49.79,35.96,45.64,26.52,28.24,83.42,0,34.97,38.06,49.11,29.76,Tery_2995,K02876,,,,Ribosome,,K02876,"RP-L15,","MRPL15,",rplO;,large,subunit,ribosomal
Tery_4747  NADPH-glutathione reductase (EC 1.8.1.7) [Trichodesmium erythraeum IMS101: NC_008312],44.03,27.85,30.63,66.97,8.73,30.4,42.51,38.01,32.42,27.72,28.98,56.97,34.28,25.68,68.08,43.61,45.29,45.04,6.51,32.24,27.4,27.75,77.11,11.28,39.16,50.25,25.95,29.12,33.9,55.04,48.58,25.69,17.55,14.47,23.4,38.23,8.7,28.8,25.12,48.2,26.45,Tery_4747,K00383,,,,,,,,,,,,
Tery_4395  glucose-1-phosphate adenylyltransferase [Trichodesmium erythraeum IMS101: NC_008312],40.26,49.27,61.26,9.24,2.91,50.91,34.88,38.01,56.35,39.26,54.59,1.12,11.43,58.37,4.86,23.26,31.36,17.83,2.17,46.96,55.85,48.01,5.56,0,38.48,42.71,35.79,21.18,58.49,3.18,0,23.12,17.55,19.29,45.19,6.95,0,56.23,45.67,1.82,52.24,Tery_4395,K00975,,,,Other carbohydrate metabolism,"M00565  Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500]",K00975,glgC;,glucose-1-phosphate,adenylyltransferase,[EC:2.7.7.27],,
Tery_3778 frr ribosome recycling factor [Trichodesmium erythraeum IMS101: NC_008312],16.36,25.7,23.48,26.56,4.37,28.88,23.98,28.16,23.93,23.87,22.24,8.94,31.43,35.8,17.51,27.62,25.78,28.15,0,26.63,30.56,32.25,39.6,0,24.05,31.41,34.9,33.1,19.94,22.23,8.5,34.68,14.04,7.23,37.93,26.07,0,27.43,34.26,9.09,28.44,Tery_3778,K02838,,,,,,,,,,,,
Tery_0265 rplK LSU ribosomal protein L11P [Trichodesmium erythraeum IMS101: NC_008312],33.97,25.7,36.76,50.8,74.23,39.52,47.97,38.01,37.82,34.64,29.65,79.31,64.28,35.8,63.22,46.52,48.78,51.61,56.38,28.74,30.56,38.26,56.27,112.82,25.42,67.84,30.42,38.39,27.92,51.86,41.29,41.1,42.13,84.39,27.44,45.19,87.05,26.06,35.78,60.93,37.03,Tery_0265,K02867,,,,Ribosome,,K02867,"RP-L11,","MRPL11,",rplK;,large,subunit,ribosomal
Tery_3171  dihydrolipoamide dehydrogenase (EC 1.8.1.4) [Trichodesmium erythraeum IMS101: NC_008312],49.06,50.69,50.03,23.09,8.73,50.91,38.15,54.91,49.4,37.72,54.59,12.29,37.14,50.58,18.48,56.7,67.59,42.23,13.01,44.86,37.94,63.76,12.5,2.82,59.09,57.79,35.79,17.21,46.53,9.53,36.43,34.68,14.04,31.34,44.38,19.12,0,59.66,52.53,20.92,43.65,Tery_3171,K00382,,,,Central carbohydrate metabolism,,K00382,"DLD,","lpd,",pdhD;,dihydrolipoamide,dehydrogenase,[EC:1.8.1.4]
Tery_3171  dihydrolipoamide dehydrogenase (EC 1.8.1.4) [Trichodesmium erythraeum IMS101: NC_008312],49.06,50.69,50.03,23.09,8.73,50.91,38.15,54.91,49.4,37.72,54.59,12.29,37.14,50.58,18.48,56.7,67.59,42.23,13.01,44.86,37.94,63.76,12.5,2.82,59.09,57.79,35.79,17.21,46.53,9.53,36.43,34.68,14.04,31.34,44.38,19.12,0,59.66,52.53,20.92,43.65,Tery_3171,K00382,,,,Other carbohydrate metabolism,,K00382,"DLD,","lpd,",pdhD;,dihydrolipoamide,dehydrogenase,[EC:1.8.1.4]
Tery_3171  dihydrolipoamide dehydrogenase (EC 1.8.1.4) [Trichodesmium erythraeum IMS101: NC_008312],49.06,50.69,50.03,23.09,8.73,50.91,38.15,54.91,49.4,37.72,54.59,12.29,37.14,50.58,18.48,56.7,67.59,42.23,13.01,44.86,37.94,63.76,12.5,2.82,59.09,57.79,35.79,17.21,46.53,9.53,36.43,34.68,14.04,31.34,44.38,19.12,0,59.66,52.53,20.92,43.65,Tery_3171,K00382,,,,Branched-chain amino acid metabolism,,K00382,"DLD,","lpd,",pdhD;,dihydrolipoamide,dehydrogenase,[EC:1.8.1.4]
"Tery_3537  phosphate ABC transporter substrate-binding protein, PhoT family (TC 3.A.1.7.1) [Trichodesmium erythraeum IMS101: NC_008312]",25.16,58.55,53.09,33.48,16.01,63.07,63.23,49.28,53.26,29.25,57.28,25.69,65.71,62.26,40.85,47.98,28.57,34.72,0,57.47,45.31,55.51,30.57,42.31,48.1,42.71,58.16,58.25,41.88,28.58,23.07,52.66,21.06,62.69,66.17,41.71,60.93,58.28,50.24,18.19,57.53,Tery_3537,K02040,,,,Phosphate and amino acid transport system,M00222  Phosphate transport system [PATH:map02010] [BR:ko02000],K02040,pstS;,phosphate,transport,system,substrate-binding,protein
Tery_3755 ftsH membrane protease FtsH catalytic subunit (EC 3.4.24.-) [Trichodesmium erythraeum IMS101: NC_008312],37.74,47.12,45.95,30.02,16.01,44.07,45.79,43.64,37.05,30.79,47.85,27.93,42.85,37.35,0.97,37.8,25.78,28.15,0,39.25,46.37,45.76,24.31,16.92,31.61,31.41,44.74,63.54,45.2,19.05,12.14,42.39,24.57,0,49.22,41.71,26.11,41.83,34.26,10,51.58,Tery_3755,K03798,,,,Drug resistance,,K03798,"ftsH,",hflB;,cell,division,protease,FtsH
"Tery_2741 hemL glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8) [Trichodesmium erythraeum IMS101: NC_008312]",47.81,36.41,38.8,46.18,46.58,34.96,39.24,60.54,41.68,36.95,34.37,45.8,37.14,34.24,12.64,50.88,45.29,38.47,4.34,25.93,40.04,38.26,22.23,19.74,28.86,69.1,31.32,26.48,32.57,12.7,32.79,42.39,31.6,43.4,30.66,50.4,69.64,34.97,32.73,29.1,28.44,Tery_2741,K01845,,,,Cofactor and vitamin biosynthesis,,K01845,hemL;,glutamate-1-semialdehyde,"2,1-aminomutase",[EC:5.4.3.8],,
Tery_2200 atpH ATP synthase F1 subcomplex delta subunit [Trichodesmium erythraeum IMS101: NC_008312],79.26,37.84,40.84,13.86,48.03,38.76,30.52,52.09,35.51,46.19,37.06,6.7,32.85,34.24,9.73,63.97,54.35,40.35,21.68,32.94,21.08,41.26,4.86,5.64,47.41,71.61,21.47,11.92,33.24,12.7,24.29,21.83,10.53,50.63,22.59,3.48,17.41,42.51,26.64,32.74,37.7,Tery_2200,K02113,,,,ATP synthesis,,K02113,"ATPF1D,",atpH;,F-type,H+-transporting,ATPase,subunit
Tery_2660 glyA serine hydroxymethyltransferase (EC 2.1.2.1) [Trichodesmium erythraeum IMS101: NC_008312],33.97,44.27,35.74,19.63,32.02,26.6,21.8,32.38,39.37,39.26,37.06,3.35,21.43,36.58,17.51,24.72,27.87,21.58,2.17,27.34,29.51,25.5,17.37,0,32.98,23.87,25.95,19.86,36.56,8.47,9.72,23.12,28.08,12.06,28.24,10.43,0,33.6,35.78,20.01,33.73,Tery_2660,K00600,,,,Methane metabolism,"M00346  Formaldehyde assimilation, serine pathway [PATH:map01200 map00680]",K00600,"glyA,",SHMT;,glycine,hydroxymethyltransferase,[EC:2.1.2.1],
Tery_2660 glyA serine hydroxymethyltransferase (EC 2.1.2.1) [Trichodesmium erythraeum IMS101: NC_008312],33.97,44.27,35.74,19.63,32.02,26.6,21.8,32.38,39.37,39.26,37.06,3.35,21.43,36.58,17.51,24.72,27.87,21.58,2.17,27.34,29.51,25.5,17.37,0,32.98,23.87,25.95,19.86,36.56,8.47,9.72,23.12,28.08,12.06,28.24,10.43,0,33.6,35.78,20.01,33.73,Tery_2660,K00600,,,,Other carbohydrate metabolism,,K00600,"glyA,",SHMT;,glycine,hydroxymethyltransferase,[EC:2.1.2.1],
Tery_2660 glyA serine hydroxymethyltransferase (EC 2.1.2.1) [Trichodesmium erythraeum IMS101: NC_008312],33.97,44.27,35.74,19.63,32.02,26.6,21.8,32.38,39.37,39.26,37.06,3.35,21.43,36.58,17.51,24.72,27.87,21.58,2.17,27.34,29.51,25.5,17.37,0,32.98,23.87,25.95,19.86,36.56,8.47,9.72,23.12,28.08,12.06,28.24,10.43,0,33.6,35.78,20.01,33.73,Tery_2660,K00600,,,,Cofactor and vitamin biosynthesis,"M00140  C1-unit interconversion, prokaryotes [PATH:map00670]",K00600,"glyA,",SHMT;,glycine,hydroxymethyltransferase,[EC:2.1.2.1],
Tery_2660 glyA serine hydroxymethyltransferase (EC 2.1.2.1) [Trichodesmium erythraeum IMS101: NC_008312],33.97,44.27,35.74,19.63,32.02,26.6,21.8,32.38,39.37,39.26,37.06,3.35,21.43,36.58,17.51,24.72,27.87,21.58,2.17,27.34,29.51,25.5,17.37,0,32.98,23.87,25.95,19.86,36.56,8.47,9.72,23.12,28.08,12.06,28.24,10.43,0,33.6,35.78,20.01,33.73,Tery_2660,K00600,,,,Cofactor and vitamin biosynthesis,"M00141  C1-unit interconversion, eukaryotes [PATH:map00670]",K00600,"glyA,",SHMT;,glycine,hydroxymethyltransferase,[EC:2.1.2.1],
Tery_3000 rplE LSU ribosomal protein L5P [Trichodesmium erythraeum IMS101: NC_008312],27.68,17.14,11.23,31.17,18.92,15.96,22.89,28.16,11.58,32.33,10.78,24.58,41.43,17.12,45.71,46.52,32.05,48.79,8.67,8.41,27.4,18,29.18,33.85,17.86,28.9,8.05,37.07,11.3,26.46,18.22,14.13,28.08,36.17,16.95,38.23,17.41,20.57,14.46,25.46,19.84,Tery_3000,K02931,,,,Ribosome,,K02931,"RP-L5,","MRPL5,",rplE;,large,subunit,ribosomal
Tery_0586 tig trigger factor [Trichodesmium erythraeum IMS101: NC_008312],17.61,22.85,33.69,13.86,10.19,22.8,18.53,28.16,33.19,23.87,29.65,12.29,17.14,21.01,16.53,24.72,25.78,25.34,8.67,25.23,22.13,31.5,15.98,2.82,25.42,22.61,22.37,17.21,27.92,17.99,3.64,29.54,24.57,21.7,22.59,20.86,0,36.34,20.55,8.18,27.78,Tery_0586,K03545,,,,,,,,,,,,
Tery_1809  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],50.32,57.83,54.12,56.57,37.84,32.68,46.88,49.28,37.82,46.96,43.13,31.28,57.14,41.24,25.29,78.51,44.6,55.36,36.86,35.04,44.26,49.51,31.26,36.67,34.35,50.25,36.68,26.48,39.22,29.63,43.72,42.39,38.62,65.1,42.77,50.4,52.23,34.29,28.17,40.93,42.99,Tery_1809,no,,,,,,,,,,,,
Tery_4659  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],45.29,32.84,41.86,19.63,10.19,44.07,28.34,36.61,37.82,39.26,41.11,2.23,20,40.47,2.92,14.54,41.81,34.72,13.01,39.95,33.72,52.51,15.98,8.46,35.04,54.02,30.42,13.24,37.22,5.29,3.64,66.79,21.06,16.88,37.93,33.02,0,47.31,41.11,5.46,49.6,Tery_4659,no,,,,,,,,,,,,
Tery_2065 gatA aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit A (EC 6.3.5.-) [Trichodesmium erythraeum IMS101: NC_008312],59.13,39.98,43.91,4.62,17.47,45.59,41.42,28.16,45.54,39.26,44.48,26.81,30,46.69,20.42,37.8,60.62,35.66,2.17,44.86,34.78,40.51,20.84,2.82,51.53,32.66,36.68,26.48,39.22,6.35,27.93,24.4,21.06,9.64,41.96,19.12,0,40.46,38.06,10.91,41,Tery_2065,K02433,,,,,,,,,,,,
Tery_3284  PfkB [Trichodesmium erythraeum IMS101: NC_008312],20.13,22.85,27.57,15.01,4.37,20.52,31.61,28.16,27.79,23.1,28.3,4.47,24.28,23.35,28.21,21.81,26.48,15.01,10.84,30.14,17.92,25.5,20.15,2.82,31.61,22.61,29.53,15.89,28.58,2.12,30.36,11.56,7.02,24.11,22.59,5.21,0,29.49,21.32,27.28,24.47,Tery_3284,no,,,,,,,,,,,,
Tery_0451  3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41) [Trichodesmium erythraeum IMS101: NC_008312],26.42,38.56,21.44,24.25,13.1,34.96,39.24,21.12,37.82,27.72,33.7,31.28,34.28,35.8,38.9,34.89,36.23,30.97,0,34.34,37.94,36.76,22.92,11.28,21.99,25.13,48.32,27.8,26.59,5.29,14.57,41.1,42.13,50.63,33.89,20.86,43.52,34.29,47.2,14.55,35.05,Tery_0451,K09458,,,,Fatty acid metabolism,,K09458,fabF;,3-oxoacyl-[acyl-carrier-protein],synthase,II,[EC:2.3.1.179],
Tery_0451  3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41) [Trichodesmium erythraeum IMS101: NC_008312],26.42,38.56,21.44,24.25,13.1,34.96,39.24,21.12,37.82,27.72,33.7,31.28,34.28,35.8,38.9,34.89,36.23,30.97,0,34.34,37.94,36.76,22.92,11.28,21.99,25.13,48.32,27.8,26.59,5.29,14.57,41.1,42.13,50.63,33.89,20.86,43.52,34.29,47.2,14.55,35.05,Tery_0451,K09458,,,,Cofactor and vitamin biosynthesis,,K09458,fabF;,3-oxoacyl-[acyl-carrier-protein],synthase,II,[EC:2.3.1.179],
Tery_1084  phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I [Trichodesmium erythraeum IMS101: NC_008312],41.52,35.7,28.59,16.16,11.64,31.16,32.7,36.61,28.56,22.33,27.63,12.29,42.85,32.68,12.64,27.62,22.3,43.16,10.84,26.63,34.78,35.26,13.2,2.82,35.04,31.41,26.84,18.53,34.56,9.53,12.14,48.81,24.57,19.29,28.24,19.12,0,32.91,38.82,10,28.44,Tery_1084,K01835,,,,Other carbohydrate metabolism,,K01835,pgm;,phosphoglucomutase,[EC:5.4.2.2],,,
Tery_0493  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],44.03,29.99,34.72,46.18,29.11,30.4,23.98,28.16,27.02,30.79,29.65,61.44,32.85,31.13,41.82,34.89,30.66,23.46,28.19,30.14,31.61,22.5,36.82,39.49,26.11,40.2,35.79,46.33,33.9,34.93,17,52.66,63.19,31.34,33.08,43.45,8.7,24,38.82,32.74,27.11,Tery_0493,no,,,,,,,,,,,,
Tery_0275  glucose-methanol-choline oxidoreductase [Trichodesmium erythraeum IMS101: NC_008312],31.45,32.13,32.67,42.72,10.19,37.24,43.6,25.34,33.96,44.65,33.02,29.04,31.43,38.91,31.12,26.17,41.11,41.29,15.18,35.75,48.48,34.51,22.23,0,33.67,27.64,49.21,52.95,35.23,10.58,20.65,47.52,35.11,9.64,42.77,34.76,0,24.69,41.11,12.73,29.76,Tery_0275,no,,,,,,,,,,,,
Tery_0891  putative nickel-containing superoxide dismutase precursor (NISOD) [Trichodesmium erythraeum IMS101: NC_008312],18.87,14.28,28.59,4.62,4.37,33.44,22.89,7.04,22.39,18.48,24.26,0,7.14,32.68,0.97,14.54,11.15,19.71,0,28.74,20.02,30.75,4.17,0,35.73,16.33,30.42,19.86,29.91,1.06,0,42.39,31.6,2.41,25.02,22.59,0,30.86,28.93,4.55,27.11,Tery_0891,K00518,,,,,,,,,,,,
Tery_1179  pre-sequence protease. Metallo peptidase. MEROPS family M16C [Trichodesmium erythraeum IMS101: NC_008312],33.97,48.55,36.76,12.7,8.73,38.76,30.52,26.75,44,40.03,43.13,0,21.43,38.13,0.97,27.62,27.87,28.15,0,41.35,38.99,33.75,15.28,0,33.67,32.66,34.9,7.94,45.2,10.58,4.86,37.25,21.06,7.23,41.15,12.17,0,38.4,44.15,2.73,35.71,Tery_1179,K06972,,,,,,,,,,,,
Tery_3544  sulfite reductase (ferredoxin) (EC 1.8.7.1) [Trichodesmium erythraeum IMS101: NC_008312],39,24.99,28.59,12.7,20.38,25.08,20.71,19.71,29.33,27.72,25.61,1.12,17.14,30.35,0,27.62,32.05,15.95,0,32.94,17.92,25.5,11.81,0,31.61,22.61,21.47,10.59,29.91,9.53,3.64,38.53,24.57,19.29,22.59,10.43,0,24,25.88,8.18,29.76,Tery_3544,K00392,,,,Sulfur metabolism,,K00392,sir;,sulfite,reductase,(ferredoxin),[EC:1.8.7.1],
Tery_1091  phage Tail Collar [Trichodesmium erythraeum IMS101: NC_008312],36.48,37.84,38.8,31.17,5.82,42.55,33.79,32.38,36.28,33.1,39.76,8.94,17.14,42.8,6.81,14.54,30.66,37.53,2.17,42.05,43.21,37.51,25.7,8.46,35.04,45.23,43.84,33.1,32.57,8.47,4.86,35.96,31.6,7.23,41.96,17.38,8.7,35.66,47.2,6.37,35.05,Tery_1091,no,,,,,,,,,,,,
"Tery_0295  peptidase M1, membrane alanine aminopeptidase [Trichodesmium erythraeum IMS101: NC_008312]",36.48,35.7,33.69,18.47,2.91,47.87,41.42,26.75,44,42.34,48.52,1.12,21.43,33.46,1.95,26.17,39.02,23.46,0,35.04,45.31,36.01,20.15,2.82,38.48,41.46,29.53,22.51,41.88,13.76,0,52.66,24.57,2.41,39.54,19.12,0,41.83,39.58,3.64,39.02,Tery_0295,K01256,,,,,,,,,,,,
Tery_1740 psb27 photosystem II 11 kD protein [Trichodesmium erythraeum IMS101: NC_008312],5.03,20.71,19.4,24.25,7.28,25.84,29.43,14.08,21.61,19.25,22.24,10.05,11.43,25.68,6.81,7.27,13.94,13.14,0,23.83,30.56,20.25,13.2,2.82,17.18,16.33,32.21,48.98,18.61,14.82,2.43,50.09,17.55,9.64,28.24,22.59,0,24,25.12,2.73,20.5,Tery_1740,K08902,,,,,,,,,,,,
Tery_2536 rpsP SSU ribosomal protein S16P [Trichodesmium erythraeum IMS101: NC_008312],12.58,22.85,15.32,15.01,2.91,22.8,18.53,19.71,22.39,13.86,23.59,17.87,15.71,29.57,1.95,13.08,18.12,17.83,2.17,26.63,25.29,21,4.86,0,19.93,21.36,21.47,30.45,22.6,5.29,6.07,39.82,14.04,0,21.79,8.69,0,19.89,24.36,2.73,23.81,Tery_2536,K02959,,,,Ribosome,,K02959,"RP-S16,","MRPS16,",rpsP;,small,subunit,ribosomal
Tery_1610  bacterial nucleoid protein Hbs [Trichodesmium erythraeum IMS101: NC_008312],11.32,29.99,26.55,53.11,20.38,33.44,38.15,43.64,27.02,21.56,24.26,36.86,40,31.13,42.79,31.98,32.05,30.03,13.01,23.13,47.42,30.75,48.63,8.46,30.92,17.59,35.79,55.6,28.58,35.98,19.43,48.81,45.64,7.23,27.44,34.76,0,28.11,33.49,20.92,27.11,Tery_1610,K03530,,,,,,,,,,,,
Tery_2202 atpG ATP synthase F0 subcomplex B' subunit [Trichodesmium erythraeum IMS101: NC_008312],36.48,50.69,37.78,33.48,34.93,29.64,55.6,30.97,31.65,42.34,35.72,16.76,55.71,37.35,29.18,47.98,29.27,32.84,6.51,37.15,35.83,38.26,34.73,0,37.79,21.36,48.32,48.98,36.56,7.41,19.43,30.83,42.13,9.64,33.89,50.4,26.11,30.86,22.84,9.09,29.76,Tery_2202,K02109,,,,ATP synthesis,,K02109,"ATPF0B,",atpF;,F-type,H+-transporting,ATPase,subunit
"Tery_2201 atpF ATP synthase F0, B subunit [Trichodesmium erythraeum IMS101: NC_008312]",36.48,37.84,34.72,48.49,66.96,44.07,50.15,52.09,36.28,33.1,39.09,25.69,59.99,38.13,37.93,50.88,39.72,42.23,28.19,33.64,44.26,35.26,40.29,11.28,39.85,25.13,45.63,91.35,35.23,43.39,25.5,53.94,59.68,33.75,37.93,59.09,8.7,38.4,37.3,43.65,27.11,Tery_2201,K02109,,,,ATP synthesis,,K02109,"ATPF0B,",atpF;,F-type,H+-transporting,ATPase,subunit
Tery_2599  aldehyde dehydrogenase (acceptor) (EC 1.2.99.3) [Trichodesmium erythraeum IMS101: NC_008312],25.16,46.41,51.05,10.39,16.01,34.2,51.24,57.72,51.72,31.56,44.48,10.05,41.43,34.24,6.81,47.98,43.2,37.53,0,43.46,33.72,60.76,11.12,2.82,41.23,36.43,29.53,7.94,37.89,1.06,7.29,23.12,21.06,4.82,33.89,17.38,0,44.57,33.49,15.46,37.7,Tery_2599,K00128,,,,Polyamine biosynthesis,,K00128,ALDH;,aldehyde,dehydrogenase,(NAD+),[EC:1.2.1.3],
Tery_2055  Hemolysin-type calcium-binding region [Trichodesmium erythraeum IMS101: NC_008312],57.87,18.56,43.91,6.93,0,34.96,41.42,9.86,40.14,46.19,41.11,8.94,5.71,41.24,3.89,10.18,35.54,44.1,0,40.65,53.74,30,10.42,0,40.54,38.95,29.53,13.24,47.86,13.76,0,43.67,77.23,2.41,27.44,27.81,0,32.91,52.53,0.91,41.66,Tery_2055,no,,,,,,,,,,,,
Tery_0264 rplA LSU ribosomal protein L1P [Trichodesmium erythraeum IMS101: NC_008312],41.52,37.13,29.61,12.7,7.28,42.55,46.88,23.93,26.24,31.56,36.39,3.35,35.71,35.8,9.73,34.89,29.27,38.47,4.34,36.45,31.61,36.01,8.34,0,36.42,37.69,34.9,18.53,23.93,4.23,6.07,32.11,28.08,12.06,34.7,33.02,0,37.71,32.73,21.83,32.4,Tery_0264,K02863,,,,Ribosome,,K02863,"RP-L1,","MRPL1,",rplA;,large,subunit,ribosomal
Tery_1229  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],31.45,29.99,33.69,38.1,55.31,34.96,39.24,36.61,31.65,28.49,27.63,102.77,48.57,31.91,122.55,46.52,33.45,24.4,47.7,29.44,33.72,33,92.39,59.23,37.1,17.59,31.32,42.36,24.59,103.72,85.01,32.11,28.08,50.63,25.02,33.02,43.52,28.8,29.69,78.21,27.11,Tery_1229,no,,,,,,,,,,,,
Tery_0477 rpsJ SSU ribosomal protein S10P [Trichodesmium erythraeum IMS101: NC_008312],13.84,19.28,18.38,24.25,26.2,20.52,20.71,15.49,14.67,13.86,18.2,68.14,14.28,21.01,55.44,10.18,12.54,16.89,13.01,16.12,25.29,18,34.73,45.13,11.68,20.1,23.26,42.36,17.95,51.86,32.79,28.26,10.53,36.17,22.59,24.33,52.23,18.51,18.27,38.2,17.86,Tery_0477,K02946,,,,Ribosome,"M00178  Ribosome, bacteria [PATH:map03010] [BR:ko03011]",K02946,"RP-S10,","MRPS10,",rpsJ;,small,subunit,ribosomal
Tery_0477 rpsJ SSU ribosomal protein S10P [Trichodesmium erythraeum IMS101: NC_008312],13.84,19.28,18.38,24.25,26.2,20.52,20.71,15.49,14.67,13.86,18.2,68.14,14.28,21.01,55.44,10.18,12.54,16.89,13.01,16.12,25.29,18,34.73,45.13,11.68,20.1,23.26,42.36,17.95,51.86,32.79,28.26,10.53,36.17,22.59,24.33,52.23,18.51,18.27,38.2,17.86,Tery_0477,K02946,,,,Ribosome,"M00179  Ribosome, archaea [PATH:map03010] [BR:ko03011]",K02946,"RP-S10,","MRPS10,",rpsJ;,small,subunit,ribosomal
Tery_3183  SSU ribosomal protein S30P/sigma 54 modulation protein [Trichodesmium erythraeum IMS101: NC_008312],40.26,41.41,33.69,35.79,52.4,32.68,34.88,36.61,28.56,42.34,30.33,59.2,50,28.79,31.12,42.16,41.81,43.16,71.56,32.24,36.88,36.01,16.67,8.46,29.54,28.9,28.63,41.04,27.25,21.17,32.79,19.27,35.11,55.45,37.12,27.81,26.11,30.86,31.21,57.3,27.78,Tery_3183,K05808,,,,,,,,,,,,
Tery_4763 psbA3 photosystem q(b) protein [Trichodesmium erythraeum IMS101: NC_008312],36.48,21.42,37.78,11.55,56.77,41.79,30.52,45.05,31.65,26.95,26.28,24.58,40,29.57,14.59,39.25,25.09,23.46,32.53,35.04,28.45,26.25,20.84,36.67,28.17,38.95,39.37,7.94,28.58,42.33,25.5,30.83,70.21,45.81,26.63,17.38,60.93,23.31,30.45,29.1,32.4,Tery_4763,K02703,,Structural complex,Energy metabolism,Photosynthesis,M00161  Photosystem II [PATH:map00195] [BR:ko00194],K02703,psbA;,photosystem,II,P680,reaction,center
Tery_4594 ftsH membrane protease FtsH catalytic subunit (EC 3.4.24.-) [Trichodesmium erythraeum IMS101: NC_008312],30.19,42.84,40.84,25.4,11.64,39.52,38.15,35.2,48.63,37.72,49.87,0,20,31.13,4.86,13.08,22.3,15.95,0,44.16,35.83,41.26,25.7,0,44.66,38.95,49.21,47.66,57.83,20.11,9.72,44.95,17.55,0,46,20.86,0,44.57,36.54,0,46.95,Tery_4594,K03798,,,,Drug resistance,,K03798,"ftsH,",hflB;,cell,division,protease,FtsH
Tery_4625  WD-40 repeat-containing protein [Trichodesmium erythraeum IMS101: NC_008312],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,Tery_4625,no,,,,,,,,,,,,
Tery_4081  phage shock protein A (PspA) family protein [Trichodesmium erythraeum IMS101: NC_008312],26.42,28.56,31.65,11.55,11.64,32.68,23.98,21.12,36.28,38.49,30.33,2.23,17.14,37.35,8.75,8.72,31.36,22.52,0,39.95,22.13,35.26,22.23,0,30.92,25.13,36.68,22.51,29.91,20.11,0,51.38,0,2.41,29.05,17.38,0,35.66,29.69,3.64,36.37,Tery_4081,K03969,,,,,,,,,,,,
Tery_3983  Malate dehydrogenase (oxaloacetate decarboxylating) [Trichodesmium erythraeum IMS101: NC_008312],40.26,41.41,33.69,26.56,42.21,37.24,43.6,40.83,31.65,32.33,35.72,55.85,41.43,37.35,29.18,53.79,38.33,45.04,10.84,32.24,31.61,36.76,59.05,25.39,32.29,46.48,33.11,25.15,31.24,33.87,35.22,35.96,17.55,40.99,39.54,36.5,17.41,37.71,39.58,54.57,34.39,Tery_3983,K00027,,,,,,,,,,,,
Tery_3312  thioredoxin [Trichodesmium erythraeum IMS101: NC_008312],11.32,11.42,15.32,27.71,32.02,22.04,17.44,16.9,16.98,10.78,16.85,42.45,21.43,17.9,64.19,13.08,12.54,15.95,10.84,11.92,27.4,14.25,52.1,22.57,18.55,12.56,15.21,22.51,9.97,63.5,42.5,30.83,28.08,45.81,22.59,17.38,26.11,13.03,22.08,33.65,20.5,Tery_3312,K03671,,,,,,,,,,,,
Tery_2625 sat sulfate adenylyltransferase (EC 2.7.7.4) [Trichodesmium erythraeum IMS101: NC_008312],5.03,15.71,11.23,8.08,4.37,16.72,10.9,7.04,26.24,14.63,18.87,0,1.43,18.68,10.7,0,9.76,8.45,0,24.53,16.86,21.75,6.25,0,17.18,12.56,21.47,10.59,23.93,3.18,0,38.53,3.51,0,12.1,1.74,0,23.31,19.79,2.73,25.13,Tery_2625,K00958,,,,Sulfur metabolism,,K00958,"sat,",met3;,sulfate,adenylyltransferase,[EC:2.7.7.4],
